City,Latitude,Longitude
Phil Campbell,34.3519,-87.7062
Pickensville,33.2336,-88.2743
Piedmont,33.9268,-85.6148
Pike Road,32.2934,-86.0902
Pinckard,31.3173,-85.543
Pine Apple,31.8721,-86.9891
Pine Hill,31.9858,-87.5875
Pine Level,32.5797,-86.4529
Pine Ridge,34.449,-85.7808
Pinson,33.7057,-86.6674
Pisgah,34.6844,-85.846
Pleasant Grove,33.4936,-86.9782
Pleasant Groves,34.735,-86.2054
Point Clear,30.4902,-87.9105
Pollard,31.0236,-87.1736
Powell,34.5325,-85.8979
Prattville,32.4605,-86.4588
Priceville,34.5247,-86.8855
Prichard,30.7735,-88.1301
Providence,32.3424,-87.7762
Putnam,32.0181,-88.0331
Ragland,33.7469,-86.1384
Rainbow City,33.9337,-86.0922
Rainsville,34.4939,-85.8435
Ranburne,33.5259,-85.339
Ray,32.879,-86.035
Red Bay,34.4358,-88.1362
Red Level,31.4055,-86.6084
Redland,32.4754,-86.1375
Redstone Arsenal,34.6843,-86.647
Reece City,34.0772,-86.0345
Reeltown,32.5788,-85.8189
Reform,33.3788,-88.0173
Rehobeth,31.1242,-85.4382
Repton,31.4097,-87.2393
Ridgeville,34.0569,-86.1029
River Falls,31.3524,-86.5412
Riverside,33.6171,-86.2042
Riverview,31.0587,-87.0709
Roanoke,33.1454,-85.3694
Robertsdale,30.5534,-87.7023
Rock Creek,33.4772,-87.0812
Rock Mills,33.1563,-85.2861
Rockford,32.8896,-86.215
Rockville,31.4059,-87.8442
Rogersville,34.8251,-87.2821
Rosa,33.9885,-86.5037
Russellville,34.5056,-87.7282
Rutledge,31.724,-86.302
Saks,33.7118,-85.8536
Samson,31.1124,-86.0462
Sand Rock,34.2308,-85.7712
Sanford,31.3006,-86.3975
Saraland,30.8478,-88.1004
Sardis City,34.1749,-86.1125
Satsuma,30.8577,-88.0632
Scottsboro,34.6438,-86.0491
Section,34.5816,-85.9849
Selma,32.4166,-87.0336
Selmont-West Selmont,32.3784,-87.0074
Semmes,30.7941,-88.2358
Sheffield,34.757,-87.6977
Shelby,33.1068,-86.5825
Shiloh,34.4638,-85.878
Shoal Creek,33.4328,-86.6071
Shorter,32.4076,-85.9412
Silas,31.7678,-88.3258
Silverhill,30.5455,-87.7505
Sims Chapel,31.2365,-88.1435
Sipsey,33.8225,-87.0834
Skyline,34.7987,-86.1229
Slocomb,31.1103,-85.5954
Smiths Station,32.5284,-85.096
Smoke Rise,33.8789,-86.824
Snead,34.1162,-86.3901
Somerville,34.4676,-86.7935
South Vinemont,34.2348,-86.8642
Southside,33.9007,-86.0238
Spanish Fort,30.7257,-87.8601
Spring Garden,33.973,-85.5558
Springville,33.7643,-86.4749
Spruce Pine,34.3928,-87.7294
St. Florian,34.8714,-87.6224
St. Stephens,31.5474,-88.0555
Standing Rock,33.0863,-85.2449
Stapleton,30.7394,-87.7943
Steele,33.937,-86.2004
Sterrett,33.449,-86.4645
Stevenson,34.8487,-85.8437
Stewartville,33.0725,-86.2658
Stockton,30.9946,-87.86
Sulligent,33.8912,-88.1266
Sumiton,33.7503,-87.0483
Summerdale,30.4783,-87.6904
Susan Moore,34.0799,-86.4234
Sweet Water,32.1046,-87.8619
Sylacauga,33.1778,-86.2606
Sylvan Springs,33.5287,-87.0312
Sylvania,34.5619,-85.8046
Talladega,33.4329,-86.0976
Talladega Springs,33.1191,-86.4421
Tallassee,32.5314,-85.8902
Tarrant,33.5945,-86.7684
Taylor,31.1658,-85.4697
Theodore,30.5408,-88.1884
Thomaston,32.2683,-87.6237
Thomasville,31.9111,-87.7419
Thorsby,32.917,-86.7203
Tibbie,31.3628,-88.2471
Tidmore Bend,34.0324,-85.9254
Tillmans Corner,30.5818,-88.2128
Town Creek,34.6718,-87.4063
Toxey,31.9107,-88.3091
Trafford,33.8194,-86.7467
Triana,34.5904,-86.7418
Trinity,34.6012,-87.0818
Troy,31.8021,-85.9665
Trussville,33.6404,-86.5819
Tuscaloosa,33.2348,-87.5267
Tuscumbia,34.7204,-87.7035
Tuskegee,32.4395,-85.7139
Twin,33.9978,-87.8497
Underwood-Petersville,34.877,-87.6975
Union,32.9938,-87.9071
Union Grove,34.4025,-86.4483
Union Springs,32.1395,-85.7141
Uniontown,32.449,-87.4958
Uriah,31.3073,-87.4992
Valley,32.8088,-85.1809
Valley Grande,32.4862,-87.0305
